costIndex,State,costRank,groceryCost,housingCost,utilitiesCost,transportationCost,miscCost
192.9,Hawaii,51,169.3,318.6,172.7,148.6,116.8
158.4,District of Columbia,50,115.5,267,119.7,116.6,97.3
151.7,California,49,121.4,227.3,117.7,138.9,114.5
139.1,New York,48,114.8,204.4,108.7,116.6,104.8
134.2,Oregon,47,110.3,181.8,88,136.7,113.2
131.6,Massachusetts,46,113.9,170.3,109.7,116,117.6
129.9,Alaska,45,134.2,133.9,154.2,130.8,150.9
129.7,Maryland,44,108.5,184.5,107.3,116.7,89.2
127.7,Connecticut,43,114.2,144.7,128.1,111.8,113.7
125.1,New Jersey,42,109.5,163.1,101.6,111.1,101.7
119.4,Rhode Island,41,106.2,129.4,123.5,124,109.3
117.5,Maine,40,107,123.1,116.1,121.4,121.8
114.5,Vermont,39,111.3,126.7,120.2,119.9,101.2
110.7,Washington,38,107.8,117.8,88.7,121.7,118.9
109.7,New Hampshire,37,100.4,110.3,119.5,111.4,116.1
108.5,Nevada,36,108.3,121.8,89,123.5,105.7
108.1,Delaware,35,113.4,98.2,96.5,107,101.6
106.9,Montana,34,105.1,111.6,83.9,125,98.4
105.6,Colorado,33,102.5,119,88.4,101.2,102.9
101.7,Pennsylvania,32,106.9,100.8,106,109.5,91.9
101.6,Minnesota,31,106.7,88.3,96.8,103.7,108.6
100.7,Virginia,30,96.1,108,99.2,88.1,97.2
99.8,South Dakota,29,107,109.8,91.8,89.8,103
98.8,North Dakota,28,108.1,90.3,93.6,104.3,111.7
98.4,Utah,27,98.5,93.6,89.4,108.6,96
97.9,Florida,26,104,95.4,102.2,96.7,96.9
97.3,Wisconsin,25,100.7,91.4,98.9,98.1,115.2
97,Arizona,24,96.9,91.7,107.4,109.6,94.7
95.9,South Carolina,23,101.9,85.1,107.6,88,94.2
94.9,North Carolina,22,96.6,83.1,97.9,93.4,110.6
94.5,Illinois,21,94.2,87.2,100.9,100.9,99
93.9,Louisiana,20,99.9,86.6,89.3,98.5,98.8
92.3,Idaho,19,92.2,87.1,82.9,106.7,97.3
91.5,Texas,18,88.9,85.3,102.3,91.4,96.2
91.1,West Virginia,17,92.9,79.6,89,93.5,89.1
90.9,Kentucky,16,89.9,77.4,97.6,92.8,89.2
90.8,Ohio,15,98.7,73.6,91.8,96.7,97.6
90.8,Nebraska,14,95.5,80.9,90.8,94.3,99.9
90.1,Iowa,13,95.9,79.6,95.3,95.5,97.8
90,Indiana,12,93.3,77.3,97,93.1,94.3
89.3,Wyoming,10,98.7,72.3,87.3,99.3,94.9
89.3,Alabama,11,97.4,71.5,103.3,88.6,90.8
89.2,Georgia,9,96.9,73.8,92.4,97.6,98.5
89,Kansas,8,91.9,73.8,103,92.3,98.9
88.9,Michigan,7,89.3,75.2,97.3,97.4,93
88.7,Tennessee,6,93.3,80.2,93.4,89.7,88.5
87.5,New Mexico,5,100.9,77.7,87.9,91.6,100.1
87.1,Missouri,4,96.6,70.6,99.6,87.3,95.7
87,Oklahoma,3,95.4,71.9,94.1,89.5,93.2
86.9,Arkansas,2,92,73.9,91.8,83.6,85.6
86.1,Mississippi,1,91.6,70.1,89.1,89.2,91.4
